number,name,zone,manu,description,time,maps,image
23,"โจ๊กทองหล่อ
",C,"โจ๊กทรงเครื่องสามสหาย, ข้าวต้มแห้งหมูตุ๋น","ร้านโจ๊กห้องแอร์ โจ๊กทรงเครื่องเครื่องแน่น ๆ ข้าวเนียนนุ่ม กลิ่นหอมข้าว และน้ำซุปรสชาติกลมกล่อม หมูตุ๋นเนื้อฉ่ำ ใครได้ลองแล้วจะติดใจ
",วันจันทร์ - วันเสาร์ 7:00 - 20:00 (หยุดวันอาทิตย์),https://maps.app.goo.gl/Y4gzxm26xm54eSo99,https://drive.google.com/open?id=16qprb6EvbRynk9YHh-lfHcPBG-xLqgY5,,,,,,,,,,,,,,,,
24,"ซอย 6 โภชนา Soi 6 Pochana
",C,"บะหมี่แห้งหมูสามอย่าง, บะหมี่หน้าเป็ดย่าง, ข้าวหน้าเป็ดย่าง
","ร้านอาหารเปิดมากว่า 60 ปี มีทั้งหมูกรอบ หมูแดง เป็ดย่าง เมนูหลากหลาย หมูกรอบกรอบจริงจัง หมูแดงเนื้อฉ่ำ เป็ดย่างเนื้อนุ่มไม่มีกลิ่นสาบ ทานคู่กับข้าวสวยร้อน ๆ ราดซอสของแต่ละเมนู อิ่ม อร่อย ในราคาย่อมเยา
",เปิดให้บริการทุกวัน 7:30 - 23:00,https://maps.app.goo.gl/iAvrzfve7M1VRTT58,,,,,,,,,,,,,,,,,
25,"ตรอกหมูกรอบ
",C,ข้าวหมูกรอบพริกเกลือ ข้าวหมื่นลี้หมูกรอบ ,"เปิดมา 10 กว่าปี หมูกรอบกรอบยันโลกหน้า รสชาติเข้มข้นทุกเมนูไม่ได้มีดีแค่หมูกรอบ ราคาดี คุณภาพล้น ใครผ่านมาอยากให้ลิ้มลองหากยังไม่ว่างเดินมากินข้าว เดินมาทักทายเล่นก็ยังดี
","เปิดให้บริการทุกวัน 10:30 - 20:00 (หยุดปีใหม่, สงกรานต์)",https://maps.app.goo.gl/4DtTG34cWRShRqPN9,,,,,,,,,,,,,,,,,
26,ที.สพูน (T.Spoon),C,"หมูกรอบคั่วพริกเกลือ, หมื่นลี้, ไข่ข้นกะเพราหมูสับ, ไก่ผัดเม็ดมะม่วง",ร้านอาหารคู่นิสิตจุฬา และคนในพื้นที่ เปิดให้บริการมานานกว่า 20 ปี จุดเด่นคือข้าวสีฟ้าที่หุงโดยผสมน้ำดอกอัญชัน และข้าวสีเหลืองที่หุงด้วยน้ำดอกคำฝอย ซึ่งเป็นที่นิยมในหมู่นิสิต และพนักงานมิตรทาวน์,วันจันทร์ - วันเสาร์ 9:00 - 20:30 (หยุดทุกวันอาทิตย์),https://maps.app.goo.gl/BKDbdiMb2VVJVtre9,https://drive.google.com/open?id=1Lf_bMw70NG1gZSiAzcj08kTWk2R8gkZ_,,,,,,,,,,,,,,,,
27,ทูเดย์สเต๊กสามย่าน Today Steak,C,ทูเดย์รวม สเต๊กหมูพริกไทยดำ,สเต๊กจานใหญ่ เนื้อชิ้นโต อร่อยเต็มคำ เมนูหลากหลาย ราคาคุ้มค่าเอาใจสายกิน,เปิดให้บริการทุกวัน 10:00 - 22:30,https://maps.app.goo.gl/2qSaTEsSc4zbvPm38,https://drive.google.com/file/d/1dcNhFP3PrXT9fUFcCvQjsn56WWRiDUfV/view?usp=drive_link,,,,,,,,,,,,,,,,
28,"เทนอิชิ (Tenichi Japanese Restaurant
",C,"ชุดทงคัตสึ เสริฟพร้อมข้าวญี่ปุ่น ซุปมิโซะ และ ผัก, ชุดหมูทงเทกิ เสริฟพร้อมข้าวญี่ปุ่น ซุปมิโซะ และ ผัก
","แต่ละเมนูทำด้วยใจรัก ต้องการให้ลูกค้ามาทานให้รู้สึกอบอุ่น เหมือนครอบครัวญี่ปุ่นมาทำอาหารให้ คุณภาพอาหารเกินราคา วัตถุดิบอย่างดี รสชาติกลมกล่อม ราคานิสิต
",เปิดให้บริการทุกวัน 11:00 - 21:30,https://maps.app.goo.gl/MTsxvfztojS1KJkX7,https://drive.google.com/open?id=1GPbmMcgfmx4H9lK_2yjAKSBfN1uuaj8T,,,,,,,,,,,,,,,,
29,พี่นาเอแคลร์,C,"เอแคลร์ไส้วานิลลาครีม
",ร้านขนมหวานครอบครัวของที่เปิดขายมานานกว่า 30 ปีที่สามย่าน ตัวเอแคลร์มีขนาดพอดีคำ รสหวานกำลังดี แป้งบางพอดีกับปริมาณไส้,เปิดให้บริการทุกวัน 8:00 - 16:00,https://maps.app.goo.gl/T1xcfryVctYGfup67,https://drive.google.com/open?id=1jcWGSL-v7AbKEPWjF_opcoqoF_yHfi4n,,,,,,,,,,,,,,,,
30,"ร้านขนมนิสา1980 (Nisa 1980)
",C,"เอแคลร์, ทาร์ตมะพร้าว, คุ๊กกี้, บานอฟฟี่, ช็อคไร้แป้งสตอเบอร์รี่ครีมสด, บลูเบอร์รี่ชีสเค้กหน้าไหม้","ร้านขายเบเกอรี่ที่เริ่มจากอาม่า เริ่มทำขนมมาตั้งแต่ปี 1980 องค์ความรู้ด้านขนมโดยเรียนจากอาจารย์ทำขนมจากญี่ปุ่น และอาจารย์ท่านอื่น ๆ ประกอบกับอาม่ามีลูก ๆ ที่หัดทำขนมด้วยตั้งแต่เด็ก และศึกษาเพิ่มเติมโดยตลอด จึงมีขนมเบเกอรี่ที่หลากหลาย ทั้งยุคอาม่าและขนมยุคใหม่ถูกใจน้อง ๆ ตอบโจทย์คนทานทุกวัย ราคาและคุณภาพวัตถุดิบแบบทำให้ครอบครัวทาน 
",วันอังคาร - วันศุกร์ 7:30 - 14:00 (หยุดทุกวันเสาร์ - วันจันทร์) หากต้องการทานอะไรเป็นพิเศษสามารถโทรมาแจ้งก่อนล่วงหน้า,https://maps.app.goo.gl/28Z7cHNfAX5zp2Jq7,https://drive.google.com/open?id=1fu3KSOyrzKVA7XrrUuaL_aTN2by9DoVJ,,,,,,,,,,,,,,,,
31,ร้านอาหารเจอบอุ่น,C,ข้าวผัดหนำเลี๊ยบเจ,ร้านอาหารเจเจ้าดังย่านสามย่าน ด้วยรสชาติที่อร่อยแม้ไม่มีเนื้อสัตว์ และเมนูเจที่หลากหลายทั้งอาหารจานเดียว และเมนูกับข้าว ร้านอาหารเจอบอุ่นจึงเป็นตัวเลือกอันดับ 1 ในชุมชนสามย่านสำหรับผู้ที่ไม่ทานเนื้อสัตว์,"วันจันทร์ - วันเสาร์ 8:00 - 18:00, วันอาทิตย์ 8:00 - 14:00",https://maps.app.goo.gl/rATGL7MVrMeEiNUB9,https://drive.google.com/open?id=1bF6dcZL1j5-v5-zuMPmWK2_s6FAwdHRh,,,,,,,,,,,,,,,,
32,หมูตุ๋นสามย่าน Mootoon samyan,C,ข้าวหมูตุ๋น กะเพราหมูตุ๋น ก๋วยเตี๋ยวหมูตุ๋น,"เปิดมากว่า 20 กว่าปี รสชาติต้นตำรับ จุดเด่นของร้านคือ หมูตุ๋นที่นำชายโครงหมู มาตุ๋นกับยาจีนใช้เวลาประมาณ 6 ชั่วโมง เนื้อหมูจึงเปื่อย หอมยาจีนทั้งชิ้น ซดพร้อมกับซุปยาจีน อิ่ม อร่อย สบายท้อง
",เปิดให้บริการทุกวัน 6:00 - 13:30,https://maps.app.goo.gl/TYbzpxnmhBiS6rFM8,https://drive.google.com/open?id=1uUM3-RwR1yuZ7y1dGoImB9_cA9l3eIJ_,,,,,,,,,,,,,,,,
